pnames,NIS,NI,IS,NS,N,S,I,noInt
κ,0.9999849465993923,0.9999286613013324,0.31315401201165904,0.9999667306656929,0.9999883352650688,0.30519637532433785,0.7660102196619554,0.9963898509716657
ϵ_new,5.668081680882587e-7,2.467949942876753e-7,3.764614141683839e-15,2.4537986687017657e-7,0.0003526789864923064,1.8339303413281327e-19,0.08946889264030997,1.1076522501839594
ϵ_obs,0.013884615544260289,7.633256433220392e-7,4.871265047886379e-8,0.01467048978036804,0.001716176530135379,2.7513045905294305e-6,9.855840142512471e-6,0.08641402105194171
λ_e,0.9590787378292507,0.9819981066830615,0.9132392108202215,0.928331040820025,0.8398439849648988,0.9225804479083803,0.9921563627783448,0.5189858599821061
λ_i,0.7354601034208618,0.5721044963124255,0.9670626080111598,0.7409175183977392,0.6977822370178707,0.8269964331613703,0.6922173166376436,9.999999999999999e-5
T_PS_e,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T_PS_i,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ρ,0.10117217245411705,0.048417544836096234,0.09698441489206379,0.09999444730115728,0.08004743267765635,0.08801148312765983,0.07291440888893061,0.06826672853729193
μ_e,0.8309539372672033,0.9044756040496619,0.9115644290661554,0.8643096270652734,0.9280846253987176,0.8872088457129498,0.8775527396566699,0.9983611171565587
μ_i,0.4934763512774975,0.03763186064501295,0.30992483173255847,0.49447259228942186,0.5453251026135912,0.6412908985356565,0.1746995054335792,9.999999999999999e-5
Q_e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.880980237230765
Q_i0,-7.14406018797995,-0.8177620628049483,-6.106550027222145,-6.4021647264962676,-2.7167209282276104,-8.544679231413696,-1.7243459473780178,0.0
β_MBe_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7574810928428655
β_MBe_2_G0,0.0020816782824538234,0.003090293123982837,0.003590478127608912,0.0023179377188465673,0.002083937561564874,0.006916647825013937,0.00875182316611529,3.4894856911538237
β_MBe_2_G1,0.0021362950917322046,0.003426804054310134,0.003682706492018137,0.0023824455506870515,0.0021937007086361682,0.007282302363131556,0.009956649604278018,2.1793373302489956
β_MBe_2_G2,0.002410211435046624,0.008514677221786506,0.003989207587017775,0.0029100977406044982,0.002424592106870432,0.009937581938780861,0.008842435474664328,0.007053666327595735
β_MBi_1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
β_MBi_2_G0,0.18157094291505474,0.0970898045982484,0.10592007527132234,0.1871757635755589,0.1546342399513069,0.24034391115504125,0.09263691057276056,0.0
β_MBi_2_G1,0.13351310536963834,0.08947116997689288,0.06783874726879618,0.1353892731990636,0.07779296270276384,0.17417483999413125,0.09409717276649235,0.0
β_MBi_2_G2,0.04087690608184801,0.09082310477893266,0.03444507650725228,0.035681475379594325,0.021186866356273985,0.14108292624030683,0.08887380472997963,0.0
β_MFe_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2501787361378547
β_MFe_2_G0,1.2432530068145693,4.034196602070913,2.6075888664277844,1.380128953393098,0.4622456772362704,3.6268443259027867,3.6056741633736564,1.3744844876915494
β_MFe_2_G1,1.38315246844612,2.352588622861718,1.5866057783261616,1.3180651534137777,1.5210009163428586,1.5905896564413224,1.8804601722561658,1.3708865646874953
β_MFe_2_G2,1.213511362167729,1.7048985698686878,1.455528525816922,1.0869470412237014,1.2547430737553351,1.3407266546111811,1.774865463480225,1.20878187219177
β_MFi_1,0.21848671117542925,2.916428983168205,1.4986422187972115,0.232010550549276,0.33141426427342124,0.3011746608283589,2.2571673522557156,0.0
β_MFi_2_G0,0.16793592155615455,2.4514727455355674,1.2215840558495692,0.1785161608048532,0.2543555164961133,0.24635310312624703,1.9330452972509984,0.0
β_MFi_2_G1,0.18195926579989438,2.4897919652827,1.3602145604149907,0.19466099536975948,0.28394636793354694,0.2638704825419439,1.89223991805688,0.0
β_MFi_2_G2,0.19471169265970287,2.2888238552341225,1.2718598232297773,0.20902891390167624,0.29981889378178317,0.2603637934369821,1.7618795205714357,0.0
Q_bias_1,0.10080244566788471,0.10435591843225504,0.1086161867859668,0.1013247365483616,0.09781776483274972,0.11355366388920435,0.0955072700578411,0.1172611097379546
Q_bias_2,-0.33138874862000073,-0.3241315806892771,-0.36554079725551236,-0.3353795501650987,-0.3107306760193702,-0.3891262402433743,-0.32736459976826326,-0.3562851986982975
r1,2.2724078126703304,2.623448784248656,2.7827451543668027,2.456129114794624,2.3733717766018136,3.552464724432297,3.055902290957458,1.7379495131918612
r2,5.605002861021931,6.327515898491683,5.662701770197583,6.549017665572521,7.292472278319103,6.902819075964716,5.122177385995143,12.845610070134352
wN,0.9764416560599019,0.189963122356023,0.0,0.9289931662490054,1.1464301674013049,0.0,0.0,0.0
wI,0.038184359012121714,0.6737333449592798,0.1848357876087403,0.0,0.0,0.0,1.872156893685571,0.0
wS,0.2485060776110074,0.0,0.029292509243513263,0.2424152769143374,0.0,0.1801452030632276,0.0,0.0
